Game Hit,Hit Created At,Hit ID,ExitSpeed (KMH),Angle,Direction,SpinRate,Distance (Meters),Spin Direction,ContactPositionX (CM),ContactPositionY (CM),Left Hand Total Spin,Left Hand Spin Direction,Right Hand Total Spin,Right Hand Spin Direction,Hitter First Name,,Device Serial Number,Flagged
72,01-17-2026 03:19,1768619987,138.9,9,19,0,49,2:28,0,0,2685.00000,2:28,2685.00000,2:28,坂口,,MTD-22119CB2427,FALSE
71,01-17-2026 03:19,1768619977,134.5,30,28,0,90,1:30,0,0,2499.00000,1:30,2499.00000,1:30,坂口,,MTD-22119CB2427,FALSE
70,01-17-2026 03:19,1768619941,133.2,16,1,0,66,1:12,0,0,842.00000,1:12,842.00000,1:12,坂口,,MTD-22119CB2427,FALSE
69,01-17-2026 03:18,1768619892,139.1,27,12,0,90,1:12,0,0,2253.00000,1:12,2253.00000,1:12,井櫻,,MTD-22119CB2427,FALSE
68,01-17-2026 03:18,1768619882,140.0,33,16,0,97,1:8,0,0,3121.00000,1:8,3121.00000,1:8,井櫻,,MTD-22119CB2427,FALSE
67,01-17-2026 03:16,1768619773,0.0,0,0,0,0,12:0,0,0,0.00000,12:0,0.00000,12:0,井櫻,,MTD-22119CB2427,FALSE
66,01-17-2026 03:15,1768619746,121.3,20,11,0,63,1:28,0,0,2619.00000,1:28,2619.00000,1:28,井櫻,,MTD-22119CB2427,FALSE
65,01-17-2026 03:15,1768619725,112.6,37,2,0,73,12:30,0,0,2653.00000,12:30,2653.00000,12:30,金子,,MTD-22119CB2427,FALSE
64,01-17-2026 03:15,1768619705,0.0,0,0,0,0,12:0,0,0,0.00000,12:0,0.00000,12:0,金子,,MTD-22119CB2427,FALSE
63,01-17-2026 03:14,1768619695,105.4,28,-6,0,64,12:10,0,0,1166.00000,12:10,1166.00000,12:10,金子,,MTD-22119CB2427,FALSE
62,01-17-2026 03:14,1768619667,108.2,36,-8,0,69,12:2,0,0,3259.00000,12:2,3259.00000,12:2,金子,,MTD-22119CB2427,FALSE
61,01-17-2026 03:14,1768619657,100.5,33,25,0,60,1:20,0,0,3365.00000,1:20,3365.00000,1:20,金子,,MTD-22119CB2427,FALSE
60,01-17-2026 03:13,1768619638,106.1,28,4,0,64,12:48,0,0,1013.00000,12:48,1013.00000,12:48,金子,,MTD-22119CB2427,FALSE
59,01-17-2026 03:13,1768619619,150.6,0,32,0,21,3:0,0,0,2094.00000,3:0,2094.00000,3:0,金子,,MTD-22119CB2427,FALSE
58,01-17-2026 03:13,1768619601,93.6,35,32,0,54,1:26,0,0,2330.00000,1:26,2330.00000,1:26,金子,,MTD-22119CB2427,FALSE
57,01-17-2026 03:13,1768619583,108.0,35,8,0,68,12:46,0,0,1733.00000,12:46,1733.00000,12:46,金子,,MTD-22119CB2427,FALSE
56,01-17-2026 03:12,1768619556,151.1,13,17,0,69,2:8,0,0,2158.00000,2:8,2158.00000,2:8,細谷,,MTD-22119CB2427,FALSE
55,01-17-2026 03:12,1768619539,139.0,18,18,0,74,1:48,0,0,1343.00000,1:48,1343.00000,1:48,細谷,,MTD-22119CB2427,FALSE
