Game Hit,Hit Created At,Hit ID,ExitSpeed (KMH),Angle,Direction,SpinRate,Distance (Meters),Spin Direction,ContactPositionX (CM),ContactPositionY (CM),Left Hand Total Spin,Left Hand Spin Direction,Right Hand Total Spin,Right Hand Spin Direction,Hitter First Name,,Device Serial Number,Flagged
14,01-24-2026 02:42,1769222521,149.7,11,13,0,59,2:16,0,0,2985,2:16,2985,2:16,三戸,,MTD-22119CB2427,FALSE
13,01-24-2026 02:41,1769222490,135.4,29,13,0,89,1:08,0,0,1181,1:08,1181,1:08,三戸,,MTD-22119CB2427,FALSE
12,01-24-2026 02:40,1769222446,144.7,9,22,0,50,2:28,0,0,748,2:28,748,2:28,三戸,,MTD-22119CB2427,FALSE
11,01-24-2026 02:40,1769222421,109.7,40,-6,0,71,12:06,0,0,1719,12:06,1719,12:06,三戸,,MTD-22119CB2427,FALSE
10,01-24-2026 02:38,1769222288,142.3,35,6,0,102,12:44,0,0,1184,12:44,1184,12:44,尾形,,MTD-22119CB2427,FALSE
9,01-24-2026 02:37,1769222258,128,31,-7,0,85,12:04,0,0,2132,12:04,2132,12:04,尾形,,MTD-22119CB2427,FALSE
8,01-24-2026 02:37,1769222231,123.5,19,-17,0,65,10:54,0,0,828,10:54,828,10:54,中村吏,,MTD-22119CB2427,FALSE
7,01-24-2026 02:36,1769222177,117.5,54,9,0,73,12:32,0,0,2696,12:32,2696,12:32,中村吏,,MTD-22119CB2427,FALSE
6,01-24-2026 02:35,1769222145,125.2,42,-2,0,85,12:14,0,0,2611,12:14,2611,12:14,中村吏,,MTD-22119CB2427,FALSE
5,01-24-2026 02:35,1769222137,144.1,7,-12,0,45,8:30,0,0,2927,8:30,2927,8:30,中村吏,,MTD-22119CB2427,FALSE
4,01-24-2026 02:34,1769222065,121.5,28,39,0,75,1:44,0,0,931,1:44,931,1:44,永田,,MTD-22119CB2427,FALSE
3,01-24-2026 02:33,1769222027,120.2,26,0,0,71,12:40,0,0,3247,12:40,3247,12:40,永田,,MTD-22119CB2427,FALSE
2,01-24-2026 02:33,1769221984,121.9,17,-30,0,59,9:38,0,0,2314,9:38,2314,9:38,永田,,MTD-22119CB2427,FALSE
1,01-24-2026 02:32,1769221976,132.3,2,-5,0,27,4:56,0,0,1460,4:56,1460,4:56,永田,,MTD-22119CB2427,FALSE
48,01-24-2026 03:25,1769225133,148.5,8,27,0,48,2:34,0,0,3043,2:34,3043,2:34,壽田,Unknown,MTD-22119CB2427,FALSE
47,01-24-2026 03:25,1769225114,150.5,8,1,0,52,2:24,0,0,1335,2:24,1335,2:24,壽田,Unknown,MTD-22119CB2427,FALSE
46,01-24-2026 03:24,1769225083,141,15,25,0,66,2:06,0,0,2334,2:06,2334,2:06,壽田,Unknown,MTD-22119CB2427,FALSE
45,01-24-2026 03:24,1769225045,162,-4,-4,0,9,5:24,0,0,1251,5:24,1251,5:24,壽田,Unknown,MTD-22119CB2427,FALSE
44,01-24-2026 03:23,1769225035,137,15,17,0,66,1:58,0,0,2409,1:58,2409,1:58,壽田,Unknown,MTD-22119CB2427,FALSE
43,01-24-2026 03:22,1769224951,134.1,25,30,0,82,1:44,0,0,1651,1:44,1651,1:44,中村俊,Kenta,MTD-22119CB2427,FALSE
42,01-24-2026 03:22,1769224923,123.3,42,10,0,85,12:42,0,0,2640,12:42,2640,12:42,中村俊,Kenta,MTD-22119CB2427,FALSE
41,01-24-2026 03:21,1769224891,152.8,6,-5,0,44,3:26,0,0,972,3:26,972,3:26,中村俊,Kenta,MTD-22119CB2427,FALSE
40,01-24-2026 03:21,1769224881,126.5,27,19,0,80,1:22,0,0,3222,1:22,3222,1:22,中村俊,Kenta,MTD-22119CB2427,FALSE
39,01-24-2026 03:20,1769224849,125.7,26,1,0,76,12:40,0,0,1120,12:40,1120,12:40,中村俊,Kenta,MTD-22119CB2427,FALSE
38,01-24-2026 03:20,1769224808,124,34,-9,0,83,11:58,0,0,1686,11:58,1686,11:58,中村俊,Kenta,MTD-22119CB2427,FALSE
37,01-24-2026 03:19,1769224780,140,2,-5,0,23,4:58,0,0,885,4:58,885,4:58,大内,Shintaro,MTD-22119CB2427,FALSE
36,01-24-2026 03:19,1769224771,124.5,7,32,0,36,2:36,0,0,2226,2:36,2226,2:36,大内,Shintaro,MTD-22119CB2427,FALSE
35,01-24-2026 03:19,1769224749,142.6,15,21,0,68,2:02,0,0,632,2:02,632,2:02,大内,Shintaro,MTD-22119CB2427,FALSE
34,01-24-2026 03:18,1769224724,123.2,27,-27,0,75,10:38,0,0,2966,10:38,2966,10:38,大内,Shintaro,MTD-22119CB2427,FALSE
33,01-24-2026 03:17,1769224658,116.5,36,-31,0,76,10:46,0,0,1838,10:46,1838,10:46,大内,Shintaro,MTD-22119CB2427,FALSE
32,01-24-2026 03:17,1769224624,125.7,14,36,0,54,2:16,0,0,1221,2:16,1221,2:16,大内,Shintaro,MTD-22119CB2427,FALSE
31,01-24-2026 03:16,1769224614,123.6,44,9,0,83,12:40,0,0,964,12:40,964,12:40,大内,Shintaro,MTD-22119CB2427,FALSE
