Game Hit,Hit Created At,Hit ID,ExitSpeed (KMH),Angle,Direction,SpinRate,Distance (Meters),Spin Direction,ContactPositionX (CM),ContactPositionY (CM),Left Hand Total Spin,Left Hand Spin Direction,Right Hand Total Spin,Right Hand Spin Direction,Hitter First Name,Hitter Last Name,Device Serial Number,Course
1,03-22-2026 03:09,1774148988,118.7,33,27,0,77,1:24,0,0,1291,1:24,1291,1:24,佐藤寛,Masashi,MTD-22119CB2427,2
2,03-22-2026 03:14,1774149272,144.2,17,-31,0,75,9:36,0,0,1203,9:36,1203,9:36,寺尾,Kansei,MTD-22119CB2427,1
3,03-22-2026 03:16,1774149378,158.6,1,-4,0,20,4:54,0,0,1881,4:54,1881,4:54,寺尾,Kansei,MTD-22119CB2427,6
4,03-22-2026 03:20,1774149627,146.6,22,-21,0,87,10:44,0,0,1040,10:44,1040,10:44,霜,Taichi,MTD-22119CB2427,2
5,03-22-2026 03:21,1774149675,133.1,40,-26,0,93,11:10,0,0,586,11:10,586,11:10,霜,Taichi,MTD-22119CB2427,5
6,03-22-2026 03:21,1774149684,134.1,38,-40,0,94,10:30,0,0,1777,10:30,1777,10:30,霜,Taichi,MTD-22119CB2427,9
7,03-22-2026 03:21,1774149703,150.2,24,-33,0,95,10:04,0,0,616,10:04,616,10:04,霜,Taichi,MTD-22119CB2427,1
8,03-22-2026 03:22,1774149721,139.3,16,31,0,67,2:06,0,0,1248,2:06,1248,2:06,福元,Masashi,MTD-22119CB2427,2
9,03-22-2026 03:23,1774149790,131.9,32,24,0,89,1:20,0,0,2005,1:20,2005,1:20,福元,Masashi,MTD-22119CB2427,7
10,03-22-2026 03:24,1774149840,137.2,24,27,0,84,1:40,0,0,706,1:40,706,1:40,福元,Masashi,MTD-22119CB2427,3
11,03-22-2026 03:24,1774149893,116.2,53,16,0,72,12:42,0,0,2827,12:42,2827,12:42,福元,Masashi,MTD-22119CB2427,7
12,03-22-2026 03:27,1774150056,145.6,17,-29,0,76,9:38,0,0,2588,9:38,2588,9:38,坂口,Yuu,MTD-22119CB2427,4
13,03-22-2026 03:27,1774150076,113.7,36,-13,0,74,11:44,0,0,1836,11:44,1836,11:44,坂口,Yuu,MTD-22119CB2427,5
14,03-22-2026 03:28,1774150085,117.3,14,24,0,48,2:06,0,0,2055,2:06,2055,2:06,坂口,Yuu,MTD-22119CB2427,7
15,03-22-2026 03:28,1774150115,139.4,17,-23,0,70,10:02,0,0,2029,10:02,2029,10:02,坂口,Yuu,MTD-22119CB2427,1
16,03-22-2026 03:29,1774150155,128.1,31,-2,0,84,12:22,0,0,2877,12:22,2877,12:22,坂口,Yuu,MTD-22119CB2427,2
17,03-22-2026 03:29,1774150177,134.2,23,-26,0,80,10:24,0,0,1003,10:24,1003,10:24,坂口,Yuu,MTD-22119CB2427,9
18,03-22-2026 03:30,1774150243,133.2,34,2,0,91,12:34,0,0,617,12:34,617,12:34,德丸,Kansei,MTD-22119CB2427,1
19,03-22-2026 03:31,1774150272,145.6,45,24,0,104,1:02,0,0,1276,1:02,1276,1:02,德丸,Kansei,MTD-22119CB2427,5
20,03-22-2026 03:32,1774150350,151.8,31,23,0,107,1:22,0,0,2945,1:22,2945,1:22,德丸,Kansei,MTD-22119CB2427,6
21,03-22-2026 03:33,1774150380,137.3,25,-1,0,84,12:34,0,0,2437,12:34,2437,12:34,德丸,Kansei,MTD-22119CB2427,4
